ID	Name	Level	Type	MaxNum	Quality	AutoSell	Use	BuyPrice	GoldPrice	GongDe	Recovery	Desc	Legend	Icon	MinAttack	MaxAttack	MinDefence	MaxDefence	MinWAttack	MaxWAttack	MinMAttack	MaxMAttack	MinGAttack	MaxGAttack	MinPAttack	MaxPAttack	MinDodge	MaxDodge	MinBang	MaxBang	MinASpeed	MaxASpeed	MinMSpeed	MaxMSpeed	MinAntiMine	MaxAntiMine	Body	Soul	UseLimit
1	筑基丹	1	1	99	3		1	10			2	增加筑基期渡劫成功率5%，天劫时使用。		100																								5	6
2	金元丹	1	1	99	3		1	50			5	增加金丹期渡劫成功率5%，天劫时使用。		101																									
3	元婴丹	1	1	99	3		1	100			10	增加元婴期渡劫成功率5%，天劫时使用。		102																									
4	出窍丹	1	1	99	4		1	200			15	增加出窍期渡劫成功率5%，天劫时使用。		103																									
5	分神丹	1	1	99	4		1		3	30	20	增加分神期渡劫成功率5%，天劫时使用。		104																									
6	合体丹	1	1	99	4		1		4	40	25	增加合体期渡劫成功率5%，天劫时使用。		105																									
7	洞虚丹	1	1	99	5		1		5	50	30	增加洞虚期渡劫成功率5%，天劫时使用。		106																									
8	大乘丹	1	1	99	5		1		6	60	35	增加大乘期渡劫成功率5%，天劫时使用。		107																									
9	洞真丹	1	1	99	5		1		7	70	40	增加洞真期渡劫成功率5%，天劫时使用。		108																									
10	一品仙丹	1	1	99	6		1		8	80	45	增加散仙期渡劫成功率5%，天劫时使用。		109																									
11	二品仙丹	1	1	99	6		1		9	90	50	增加游仙期渡劫成功率5%，天劫时使用。		110																									
12	三品仙丹	1	1	99	6		1		10	100	55	增加地仙期渡劫成功率5%，天劫时使用。		111																									
13	四品仙丹	1	1	99	7		1		11	110	60	增加天仙期渡劫成功率5%，天劫时使用。		112																									
14	五品仙丹	1	1	99	7		1		12	120	65	增加金仙期渡劫成功率5%，天劫时使用。		113																									
15	六品仙丹	1	1	99	7		1		13	130	80	增加大罗金仙渡劫成功率5%，天劫时使用。		114																									
19	一品洗髓丹	1	19	99	1		1		3		1	永久增加10点攻击，此枚丹药服用超过50颗会产生丹毒。		115	10	10																							50
20	一品浑天丹	1	19	99	1		1		3		1	永久增加10点防御，此枚丹药服用超过50颗会产生丹毒。		116			10	10																					50
21	一品体魄丹	1	19	99	1		1		3		1	永久增加100点生命，此枚丹药服用超过50颗会产生丹毒。		117																							100		50
22	一品灵动丹	1	19	99	1		1		3		1	永久增加10点闪避，此枚丹药服用超过50颗会产生丹毒。		118													10	10											50
23	一品血煞丹	1	19	99	1		1		3		1	永久增加10点暴击，此枚丹药服用超过50颗会产生丹毒。		119															10	10									50
24	一品雷元丹	1	19	99	1		1		3		1	永久增加10点雷抗，此枚丹药服用超过50颗会产生丹毒。		120																					10	10			50
25	一品风行丹	1	19	99	1		1		3		1	永久增加10点速度，此枚丹药服用超过50颗会产生丹毒。		121																	10	10							50
26	一品天罡丹	1	19	99	1		1		3		1	永久增加10点对鬼族伤害，此枚丹药服用超过50颗会产生丹毒。		122									10	10															50
27	一品镇妖丹	1	19	99	1		1		3		1	永久增加10点对妖族伤害，此枚丹药服用超过50颗会产生丹毒。		123					10	10																			50
28	一转金丹	1	2	99	1		1	1			1	增加100点修为		124	100																								
29	二转金丹	1	2	99	2		1	10			1	增加1000点修为		125	1000																								
30	三转金丹	1	2	99	3		1	100			1	增加10000点修为		126	10000																								
31	四转金丹	1	2	99	4		1		2	20	1	增加100000点修为		127	100000																								
32	五转金丹	1	2	99	5		1		10	100	1	增加1000000点修为		128	1000000																								
33	六转金丹	1	2	99	6		1		50	500	1	增加10000000点修为		129	10000000																								
34	七转金丹	1	2	99	7		1		200	2000	1	增加100000000点修为		130	100000000																								
35	八转金丹	1	2	99	8		1					增加1000000000点修为		131																									
36	九转金丹	1	2	99	9		1					增加1000000000点修为		132																									
38	灵石	1	3	9999	1		1				1	使用后增加1点灵石		133	1																								
39	中品灵石	1	3	99	2		1				10	使用后增加10点灵石		134	10																								
40	上品灵石	1	14	99	4		1				1	使用后增加1点上品灵石		135	1																								
41	极品灵石	1	3	99	6		1				1000	使用后增加1000点灵石		136	1000																								
42	完美灵石	1	3	99	8		1				10000	使用后增加10000点灵石		137	10000																								
44	1品破阵符	1	4	99	1		1					使用后减少破阵时间5分钟		138	5																								
45	2品破阵符	1	4	99	2		1					使用后减少破阵时间20分钟		139	20																								
46	3品破阵符	1	4	99	3		1					使用后减少破阵时间60分钟		140	60																								
47	4品破阵符	1	4	99	4		1					使用后减少破阵时间2小时		141	120																								
48	5品破阵符	1	4	99	5		1					使用后减少破阵时间8小时		142	480																								
49	6品破阵符	1	4	99	6		1					使用后减少破阵时间16小时		143	960																								
